Month,Mean_Temprature
1925-05-31 00:00:00,27.82
1925-06-30 00:00:00,27.76
1925-07-31 00:00:00,27.01
1925-08-31 00:00:00,26.64
1925-09-30 00:00:00,26.29
1925-10-31 00:00:00,24.61
1925-11-30 00:00:00,21.29
1925-12-31 00:00:00,18.63
1926-01-31 00:00:00,18.65
1926-02-28 00:00:00,20.7
1926-03-31 00:00:00,22.87
1926-04-30 00:00:00,25.3
1926-05-31 00:00:00,27.69
1926-06-30 00:00:00,28.97
1926-07-31 00:00:00,27.65
1926-08-31 00:00:00,27.08
1926-09-30 00:00:00,25.95
1926-10-31 00:00:00,24.41
1926-11-30 00:00:00,20.59
1926-12-31 00:00:00,18.8
1927-01-31 00:00:00,18.15
1927-02-28 00:00:00,19.4
1927-03-31 00:00:00,22.71
1927-04-30 00:00:00,26.13
1927-05-31 00:00:00,27.7
1927-06-30 00:00:00,27.93
1927-07-31 00:00:00,27.23
1927-08-31 00:00:00,26.66
1927-09-30 00:00:00,26.1
1927-10-31 00:00:00,24.7
1927-11-30 00:00:00,21.16
1927-12-31 00:00:00,19.41
1928-01-31 00:00:00,18.66
1928-02-29 00:00:00,20.13
1928-03-31 00:00:00,23.23
1928-04-30 00:00:00,26.44
1928-05-31 00:00:00,28.88
1928-06-30 00:00:00,28.22
1928-07-31 00:00:00,27.28
1928-08-31 00:00:00,26.9
1928-09-30 00:00:00,26.32
1928-10-31 00:00:00,24.92
1928-11-30 00:00:00,21.77
1928-12-31 00:00:00,18.73
1929-01-31 00:00:00,18.25
1929-02-28 00:00:00,19.0
1929-03-31 00:00:00,24.05
1929-04-30 00:00:00,26.44
1929-05-31 00:00:00,28.58
1929-06-30 00:00:00,28.07
1929-07-31 00:00:00,27.26
1929-08-31 00:00:00,26.64
1929-09-30 00:00:00,26.41
1929-10-31 00:00:00,24.12
1929-11-30 00:00:00,21.71
1929-12-31 00:00:00,18.44
1930-01-31 00:00:00,17.75
1930-02-28 00:00:00,18.72
1930-03-31 00:00:00,23.36
1930-04-30 00:00:00,25.94
1930-05-31 00:00:00,28.11
1930-06-30 00:00:00,27.84
1930-07-31 00:00:00,27.31
1930-08-31 00:00:00,26.85
1930-09-30 00:00:00,26.17
1930-10-31 00:00:00,24.6
1930-11-30 00:00:00,21.41
1930-12-31 00:00:00,19.11
1931-01-31 00:00:00,19.34
1931-02-28 00:00:00,19.73
1931-03-31 00:00:00,23.31
1931-04-30 00:00:00,27.27
1931-05-31 00:00:00,28.51
1931-06-30 00:00:00,28.68
1931-07-31 00:00:00,26.93
1931-08-31 00:00:00,27.31
1931-09-30 00:00:00,26.25
1931-10-31 00:00:00,24.91
1931-11-30 00:00:00,21.7
1931-12-31 00:00:00,19.29
1932-01-31 00:00:00,18.72
1932-02-29 00:00:00,19.51
1932-03-31 00:00:00,23.39
1932-04-30 00:00:00,26.59
1932-05-31 00:00:00,27.74
1932-06-30 00:00:00,28.52
1932-07-31 00:00:00,27.46
1932-08-31 00:00:00,26.8
1932-09-30 00:00:00,26.5
1932-10-31 00:00:00,24.69
1932-11-30 00:00:00,21.71
1932-12-31 00:00:00,18.86
1933-01-31 00:00:00,17.84
1933-02-28 00:00:00,20.33
1933-03-31 00:00:00,23.22
1933-04-30 00:00:00,25.52
1933-05-31 00:00:00,27.26
1933-06-30 00:00:00,27.92
1933-07-31 00:00:00,27.39
1933-08-31 00:00:00,26.32
1933-09-30 00:00:00,25.86
1933-10-31 00:00:00,24.35
1933-11-30 00:00:00,21.67
1933-12-31 00:00:00,19.31
1934-01-31 00:00:00,17.8
1934-02-28 00:00:00,20.51
1934-03-31 00:00:00,22.97
1934-04-30 00:00:00,26.58
1934-05-31 00:00:00,28.13
1934-06-30 00:00:00,28.22
1934-07-31 00:00:00,27.42
1934-08-31 00:00:00,26.74
1934-09-30 00:00:00,26.56
1934-10-31 00:00:00,24.42
1934-11-30 00:00:00,21.15
1934-12-31 00:00:00,19.08
1935-01-31 00:00:00,17.54
1935-02-28 00:00:00,21.0
1935-03-31 00:00:00,23.39
1935-04-30 00:00:00,25.15
1935-05-31 00:00:00,28.88
1935-06-30 00:00:00,28.45
1935-07-31 00:00:00,27.18
1935-08-31 00:00:00,26.37
1935-09-30 00:00:00,25.85
1935-10-31 00:00:00,24.42
1935-11-30 00:00:00,21.49
1935-12-31 00:00:00,19.03
1936-01-31 00:00:00,18.06
1936-02-29 00:00:00,20.0
1936-03-31 00:00:00,22.84
1936-04-30 00:00:00,26.27
1936-05-31 00:00:00,28.97
1936-06-30 00:00:00,27.41
1936-07-31 00:00:00,27.12
1936-08-31 00:00:00,26.8
